00407d18	IsChild	6
00407d28	IsDialogMessageA	6
00407d30	IsDialogMessageA	6
00407d38	IsDialogMessageW	6
00407d40	IsIconic	6
00407d48	IsRectEmpty	6
00407d50	IsWindow	6
00407d58	IsWindowEnabled	6
00407d60	IsWindowUnicode	6
00407d68	IsWindowVisible	6
00407d78	KillTimer	6
00407d80	LoadBitmapA	6
00407d88	LoadCursorA	6
00407d90	LoadIconA	6
00407da0	LoadStringA	6
00407da8	MapVirtualKeyA	6
00407db0	MapVirtualKeyW	6
00407db8	MapWindowPoints	6
00407dc0	MessageBeep	6
00407dc8	MessageBoxA	6
00407dd0	MoveWindow	6
00407dd8	MsgWaitForMultipleObjects	6
00407de0	OemToCharA	6
00407de8	OffsetRect	6
00407df0	OpenClipboard	6
00407df8	PeekMessageA	6
00407e00	PostMessageA	6
00407e08	PostMessageW	6
00407e10	PostQuitMessage	6
00407e18	PtInRect	6
00407e20	RedrawWindow	6
00407e28	RegisterClassA	6
00407e30	RegisterClassW	6
00407e38	RegisterClipboardFormatA	6
00407e40	RegisterWindowMessageA	6
00407e48	ReleaseCapture	6
00407e50	ReleaseDC	6
00407e58	RemoveMenu	6
00407e68	ScreenToClient	6
00407e70	ScrollWindow	6
00407e78	ScrollWindowEx	6
00407e80	SendMessageA	6
00407e88	SendMessageA	6
00407e90	SendMessageW	6
00407e98	SetActiveWindow	6
00407ea0	SetCapture	6
00407ea8	SetClassLongA	6
00407eb0	SetClipboardData	6
00407eb8	SetCursor	6
00407ec0	SetFocus	6
00407ec8	SetForegroundWindow	6
00407ed0	SetMenu	6
00407ed8	SetMenuItemInfoA	6
00407ee0	SetMenuItemInfoW	6
00407ee8	SetParent	6
00407ef0	SetPropA	6
00407ef8	SetRect	6
00407f00	SetRectEmpty	6
00407f08	SetScrollInfo	6
00407f20	SetTimer	6
00407f28	SetWindowLongA	6
00407f30	SetWindowLongW	6
00407f38	SetWindowPlacement	6
00407f40	SetWindowPos	6
00407f48	SetWindowTextA	6
00407f50	SetWindowTextA	6
00407f58	SetWindowTextW	6
00407f60	SetWindowsHookExA	6
00407f68	SetWindowsHookExW	6
00407f70	SetWindowRgn	6
00407f78	ShowCursor	6
00407f80	ShowOwnedPopups	6
00407f88	ShowScrollBar	6
00407f90	ShowWindow	6
00407f98	SystemParametersInfoA	6
00407fa0	TrackPopupMenu	6
00407fa8	TranslateMDISysAccel	6
00407fb0	TranslateMessage	6
00407fb8	UnhookWindowsHookEx	6
00407fc0	UnregisterClassA	6
00407fc8	UnregisterClassW	6
00407fd0	UpdateWindow	6
00407fd8	UpdateLayeredWindow	6
00407fe0	ValidateRect	6
00407fe8	WaitMessage	6
00407ff0	WinHelpA	6
00407ff8	WindowFromPoint	6
00408000	FUN_00408000	18
00408014	FUN_00408014	12
00408020	FUN_00408020	4
00408024	FUN_00408024	7
0040802c	FUN_0040802c	6
00408034	FUN_00408034	7
0040803c	FUN_0040803c	8
00408044	FUN_00408044	3
00408048	FUN_00408048	14
00408058	FUN_00408058	27
00408074	FUN_00408074	19
00408088	FUN_00408088	13
00408098	FUN_00408098	12
004080a4	FUN_004080a4	26
004080c0	FUN_004080c0	1
004080c4	FUN_004080c4	4
004080c8	FUN_004080c8	4
004080cc	FUN_004080cc	20
004080e0	FUN_004080e0	22
004080f8	FUN_004080f8	6
00408100	FUN_00408100	6
00408108	CreateWindowExA	6
00408110	CreateWindowExW	6
00408118	FUN_00408118	87
00408170	FUN_00408170	87
004081c8	FUN_004081c8	85
00408220	FUN_00408220	154
00409400	FUN_00409400	28
0040941c	FUN_0040941c	24
00409434	FUN_00409434	34
00409458	StringFromCLSID	6
00409460	CoTaskMemFree	6
00409468	CLSIDFromString	6
00409470	FUN_00409470	109
004094ec	FUN_004094ec	56
00409524	IsEqualGUID	6
0040952c	FUN_0040952c	29
00409578	FUN_00409578	53
004095b0	FUN_004095b0	58
004095ec	FUN_004095ec	58
00409628	FUN_00409628	47
00409658	FUN_00409658	32
00409678	FUN_00409678	83
004096cc	FUN_004096cc	35
004096f0	FUN_004096f0	51
00409724	FUN_00409724	51
00409758	FUN_00409758	56
00409790	FUN_00409790	56
004097c8	FUN_004097c8	23
004097e0	FUN_004097e0	30
00409800	FUN_00409800	32
00409820	FUN_00409820	129
004098b4	FUN_004098b4	106
00409920	FUN_00409920	23
00409938	FUN_00409938	109
004099a8	FUN_004099a8	23
004099c0	FUN_004099c0	77
00409a10	FUN_00409a10	79
00409a60	FUN_00409a60	253
00409b60	FUN_00409b60	345
00409cc8	FUN_00409cc8	99
00409d2c	FUN_00409d2c	22
00409d42	FUN_00409d42	54
00409d94	FUN_00409d94	68
00409dd8	FUN_00409dd8	29
00409e30	FUN_00409e30	171
00409edc	FUN_00409edc	52
00409f10	FUN_00409f10	151
00409fa8	FUN_00409fa8	38
00409fd0	FUN_00409fd0	37
00409ff8	FUN_00409ff8	57
0040a034	FUN_0040a034	22
0040a04c	FUN_0040a04c	29
0040a06c	FUN_0040a06c	68
0040a0b0	FUN_0040a0b0	32
0040a0d0	FUN_0040a0d0	111
0040a160	FUN_0040a160	52
0040a194	FUN_0040a194	58
0040a1d0	FUN_0040a1d0	126
0040a26c	FUN_0040a26c	75
0040a2b8	FUN_0040a2b8	87
0040a310	FUN_0040a310	36
0040a334	FUN_0040a334	6
0040a33c	FUN_0040a33c	44
0040a368	FUN_0040a368	44
0040a394	FUN_0040a394	56
0040a3cc	FUN_0040a3cc	7
0040a3d4	FUN_0040a3d4	104
0040a43c	FUN_0040a43c	16
0040a44c	FUN_0040a44c	33
0040a470	FUN_0040a470	99
0040a4d4	FUN_0040a4d4	77
0040a524	FUN_0040a524	36
0040a548	FUN_0040a548	26
0040a564	FUN_0040a564	24
0040a57c	FUN_0040a57c	45
0040a5ac	FUN_0040a5ac	77
0040a5fc	FUN_0040a5fc	40
0040a630	FUN_0040a630	41
0040a668	FUN_0040a668	60
0040a6b0	FUN_0040a6b0	58
0040a760	FUN_0040a760	23
0040a778	FUN_0040a778	19
0040a78c	FUN_0040a78c	13
0040a79c	FUN_0040a79c	40
0040a7c4	FUN_0040a7c4	49
0040a7f8	FUN_0040a7f8	34
0040a81c	FUN_0040a81c	31
0040a83c	FUN_0040a83c	34
0040a860	FUN_0040a860	61
0040a8a0	FUN_0040a8a0	39
0040a8c8	FUN_0040a8c8	66
0040a90c	thunk_FUN_0040a916	2
0040a916	FUN_0040a916	15
0040a920	FUN_0040a920	81
0040a974	FUN_0040a974	18
0040a988	FUN_0040a988	20
0040a99c	FUN_0040a99c	9
0040a9a8	FUN_0040a9a8	42
